,second_level,As of 2023-12-25,As of 2022-12-25,Variance,% Var
0,"Property, Plant  & Equipment",-341433.30840000004,-482539.60000000003,141106.2916,-29.24242727436256
1,Intangible Assets,-4190.04,-7780.200000000001,3590.1600000000008,-46.14482918176911
2,Right of use Asset,-218842.44250000012,-352507.50000000064,133665.05750000052,-37.91835847464247
3,Non Current Assets,-564465.7909000001,-842827.3000000006,278361.5091000005,-33.02711114127417
4,Cash & Cash Equivalents,-220140.07000000007,-1969904.13,1749764.0599999998,-88.82483331815747
5,Trade Receivables,-3303680.06,-4727609.36,1423929.3000000003,-30.119436517910614
6,Inventory,-301413.83840000007,-231126.58839999998,-70287.25000000009,30.4107158274483
7,Due from Related Parties,-3857816.4899999998,-2424482.7399999998,-1433333.75,59.11915669071745
8,Other Receivable,-3285152.6534,-1828025.2000000002,-1457127.4534,79.71046861936037
9,Current Assets,-10968203.1118,-11181148.018400002,212944.9066000022,-1.9044994865426546
10,Assets,-11532668.9027,-12023975.318400003,491306.4157000035,-4.086056422189833
11,Share Capital,10000000.0,10000000.0,0.0,0.0
12,Statutory Reserves,138095.0,,,
13,Retained Earnings,-5204699.010399997,-5662289.306900006,457590.29650000855,-8.081365534297124
14,Equity,4933395.989600003,4337710.693099994,595685.2965000086,13.73271153024489
15,Provisions,1136809.8798,1295268.8185,-158458.93870000006,-12.23367199432046
16,Lease Liabilities,0.0,2746.0,-2746.0,-100.0
17,Non Current Liabilities,1136809.8798,1298014.8185,-161204.93870000006,-12.419345018440564
18,Accounts Payables,213188.9,250526.87,-37337.97,-14.903778584708306
19,Accruals & Other Payables,3845554.9668999994,2650086.2983999997,1195468.6684999997,45.110556181576754
20,Due to Related Parties,1403719.2400000002,3487636.4600000004,-2083917.2200000002,-59.75156080344453
21,Current Liabilities,5462463.106899999,6388249.6284,-925786.5215000007,-14.492021685944556
22,Liability & Equity,11532668.976300001,12023975.139999993,-491306.163699992,-4.086054387001936
